threshold,sensitivity,specificity,accuracy,f1,precision,roc_auc
0.131,0.9471,0.1966,0.3086,0.2908,0.1719,0.7968
0.132,0.9471,0.1977,0.3094,0.2911,0.1721,0.7968
0.133,0.9456,0.1992,0.3105,0.2912,0.1722,0.7968
0.134,0.9441,0.2018,0.3125,0.2916,0.1725,0.7968
0.135,0.9426,0.2036,0.3138,0.2917,0.1727,0.7968
0.136,0.9426,0.2052,0.3151,0.2921,0.1729,0.7968
0.137,0.9426,0.2064,0.3162,0.2924,0.1732,0.7968
0.138,0.9426,0.208,0.3175,0.2929,0.1735,0.7968
0.139,0.9412,0.2088,0.318,0.2927,0.1734,0.7968
0.14,0.9397,0.2106,0.3193,0.2928,0.1735,0.7968
0.141,0.9397,0.2129,0.3213,0.2934,0.174,0.7968
0.142,0.9397,0.2142,0.3224,0.2937,0.1742,0.7968
0.143,0.9397,0.2157,0.3237,0.2941,0.1745,0.7968
0.144,0.9397,0.217,0.3248,0.2945,0.1747,0.7968
0.145,0.9397,0.218,0.3257,0.2948,0.175,0.7968
0.146,0.9397,0.2193,0.3268,0.2951,0.1752,0.7968
0.147,0.9397,0.2209,0.3281,0.2956,0.1755,0.7968
0.148,0.9397,0.2229,0.3298,0.2961,0.1759,0.7968
0.149,0.9397,0.2247,0.3314,0.2966,0.1763,0.7968
0.15,0.9397,0.2273,0.3336,0.2973,0.1768,0.7968
0.151,0.9397,0.2284,0.3344,0.2976,0.177,0.7968
0.152,0.9397,0.2296,0.3355,0.298,0.1772,0.7968
0.153,0.9397,0.2312,0.3368,0.2984,0.1775,0.7968
0.154,0.9397,0.2335,0.3388,0.2991,0.178,0.7968
0.155,0.9397,0.2353,0.3404,0.2995,0.1783,0.7968
0.156,0.9397,0.2366,0.3414,0.2999,0.1786,0.7968
0.157,0.9382,0.2374,0.3419,0.2997,0.1785,0.7968
0.158,0.9382,0.2394,0.3436,0.3003,0.179,0.7968
0.159,0.9382,0.2425,0.3463,0.3012,0.1796,0.7968
0.16,0.9382,0.2446,0.348,0.3018,0.18,0.7968
0.161,0.9382,0.2469,0.35,0.3024,0.1805,0.7968
0.162,0.9382,0.2503,0.3529,0.3034,0.1812,0.7968
0.163,0.9382,0.2513,0.3537,0.3037,0.1814,0.7968
0.164,0.9382,0.2539,0.3559,0.3044,0.1819,0.7968
0.165,0.9382,0.2552,0.357,0.3048,0.1821,0.7968
0.166,0.9382,0.257,0.3586,0.3053,0.1825,0.7968
0.167,0.9382,0.2575,0.359,0.3054,0.1826,0.7968
0.168,0.9382,0.2595,0.3607,0.3061,0.1831,0.7968
0.169,0.9382,0.2608,0.3618,0.3064,0.1833,0.7968
0.17,0.9368,0.2629,0.3634,0.3066,0.1835,0.7968
0.171,0.9368,0.2637,0.364,0.3068,0.1837,0.7968
0.172,0.9368,0.2668,0.3667,0.3077,0.1843,0.7968
0.173,0.9353,0.2686,0.368,0.3078,0.1844,0.7968
0.174,0.9353,0.2709,0.37,0.3085,0.1849,0.7968
0.175,0.9353,0.2719,0.3708,0.3088,0.1851,0.7968
0.176,0.9353,0.2729,0.3717,0.3091,0.1853,0.7968
0.177,0.9338,0.2753,0.3735,0.3094,0.1856,0.7968
0.178,0.9338,0.2765,0.3746,0.3098,0.1859,0.7968
0.179,0.9324,0.2791,0.3765,0.3101,0.1862,0.7968
0.18,0.9324,0.2807,0.3779,0.3106,0.1865,0.7968
0.181,0.9324,0.282,0.3789,0.311,0.1868,0.7968
0.182,0.9324,0.284,0.3807,0.3116,0.1873,0.7968
0.183,0.9324,0.2858,0.3822,0.3121,0.1877,0.7968
0.184,0.9324,0.2876,0.3838,0.3127,0.1881,0.7968
0.185,0.9324,0.2884,0.3844,0.3129,0.1883,0.7968
0.186,0.9324,0.291,0.3866,0.3137,0.1888,0.7968
0.187,0.9309,0.2936,0.3886,0.3141,0.1892,0.7968
0.188,0.9309,0.2956,0.3904,0.3148,0.1897,0.7968
0.189,0.9309,0.2979,0.3923,0.3155,0.1902,0.7968
0.19,0.9309,0.299,0.3932,0.3158,0.1904,0.7968
0.191,0.9309,0.301,0.395,0.3164,0.1909,0.7968
0.192,0.9309,0.3026,0.3963,0.3169,0.1912,0.7968
0.193,0.9309,0.3028,0.3965,0.317,0.1913,0.7968
0.194,0.9294,0.3041,0.3974,0.317,0.1914,0.7968
0.195,0.9294,0.3054,0.3985,0.3175,0.1917,0.7968
0.196,0.9294,0.3064,0.3993,0.3178,0.1919,0.7968
0.197,0.9294,0.3072,0.4,0.318,0.1921,0.7968
0.198,0.9294,0.3095,0.402,0.3187,0.1926,0.7968
0.199,0.9294,0.3108,0.4031,0.3191,0.1929,0.7968
0.2,0.9294,0.3126,0.4046,0.3197,0.1933,0.7968
0.201,0.9294,0.3139,0.4057,0.3201,0.1936,0.7968
0.202,0.9294,0.3149,0.4066,0.3204,0.1939,0.7968
0.203,0.9294,0.3155,0.407,0.3206,0.194,0.7968
0.204,0.9294,0.3168,0.4081,0.321,0.1943,0.7968
0.205,0.9294,0.3178,0.409,0.3214,0.1945,0.7968
0.206,0.9279,0.3209,0.4114,0.3219,0.195,0.7968
0.207,0.9279,0.3224,0.4127,0.3224,0.1954,0.7968
0.208,0.9265,0.3247,0.4145,0.3228,0.1957,0.7968
0.209,0.9265,0.3253,0.4149,0.323,0.1959,0.7968
0.21,0.9265,0.3263,0.4158,0.3233,0.1961,0.7968
0.211,0.9265,0.3281,0.4173,0.3239,0.1966,0.7968
0.212,0.9265,0.3294,0.4184,0.3244,0.1969,0.7968
0.213,0.9265,0.3304,0.4193,0.3247,0.1971,0.7968
0.214,0.9265,0.3317,0.4204,0.3251,0.1974,0.7968
0.215,0.925,0.3322,0.4206,0.3248,0.1973,0.7968
0.216,0.9235,0.3338,0.4217,0.3248,0.1974,0.7968
0.217,0.9235,0.3345,0.4224,0.3251,0.1976,0.7968
0.218,0.9221,0.3371,0.4243,0.3255,0.198,0.7968
0.219,0.9221,0.3384,0.4254,0.326,0.1983,0.7968
0.22,0.9206,0.3394,0.4261,0.3259,0.1983,0.7968
0.221,0.9206,0.3407,0.4272,0.3263,0.1986,0.7968
0.222,0.9191,0.3423,0.4283,0.3264,0.1988,0.7968
0.223,0.9176,0.3438,0.4294,0.3265,0.1989,0.7968
0.224,0.9176,0.3443,0.4298,0.3267,0.199,0.7968
0.225,0.9176,0.3448,0.4303,0.3268,0.1992,0.7968
0.226,0.9162,0.3448,0.43,0.3264,0.1989,0.7968
0.227,0.9147,0.3454,0.4303,0.3261,0.1988,0.7968
0.228,0.9118,0.3464,0.4307,0.3255,0.1984,0.7968
0.229,0.9118,0.3469,0.4311,0.3257,0.1986,0.7968
0.23,0.9118,0.3474,0.4316,0.3258,0.1987,0.7968
0.231,0.9118,0.3485,0.4325,0.3262,0.1989,0.7968
0.232,0.9118,0.3503,0.434,0.3267,0.1994,0.7968
0.233,0.9118,0.3521,0.4355,0.3273,0.1998,0.7968
0.234,0.9103,0.3546,0.4375,0.3277,0.2002,0.7968
0.235,0.9103,0.3559,0.4386,0.3282,0.2005,0.7968
0.236,0.9088,0.358,0.4401,0.3284,0.2008,0.7968
0.237,0.9088,0.3593,0.4412,0.3289,0.2011,0.7968
0.238,0.9074,0.3601,0.4417,0.3287,0.201,0.7968
0.239,0.9074,0.3611,0.4425,0.329,0.2012,0.7968
0.24,0.9074,0.3626,0.4439,0.3295,0.2016,0.7968
0.241,0.9074,0.3637,0.4447,0.3298,0.2019,0.7968
0.242,0.9074,0.3642,0.4452,0.33,0.202,0.7968
0.243,0.9059,0.366,0.4465,0.3301,0.2022,0.7968
0.244,0.9059,0.3678,0.448,0.3307,0.2026,0.7968
0.245,0.9059,0.3688,0.4489,0.3311,0.2029,0.7968
0.246,0.9059,0.3696,0.4496,0.3313,0.2031,0.7968
0.247,0.9044,0.3704,0.45,0.3312,0.203,0.7968
0.248,0.9044,0.3714,0.4509,0.3315,0.2033,0.7968
0.249,0.9044,0.3722,0.4515,0.3318,0.2035,0.7968
0.25,0.9044,0.3735,0.4526,0.3323,0.2038,0.7968
0.251,0.9044,0.3747,0.4537,0.3327,0.2042,0.7968
0.252,0.9044,0.376,0.4548,0.3332,0.2046,0.7968
0.253,0.9044,0.3771,0.4557,0.3336,0.2048,0.7968
0.254,0.9044,0.3778,0.4564,0.3338,0.205,0.7968
0.255,0.9044,0.3807,0.4588,0.3348,0.2058,0.7968
0.256,0.9044,0.3822,0.4601,0.3353,0.2062,0.7968
0.257,0.9015,0.3832,0.4605,0.3349,0.206,0.7968
0.258,0.9,0.3843,0.4612,0.3348,0.206,0.7968
0.259,0.8985,0.3861,0.4625,0.335,0.2062,0.7968
0.26,0.8985,0.3879,0.464,0.3356,0.2067,0.7968
0.261,0.8985,0.3897,0.4656,0.3363,0.2072,0.7968
0.262,0.8985,0.3918,0.4673,0.337,0.2077,0.7968
0.263,0.8985,0.3933,0.4686,0.3376,0.2082,0.7968
0.264,0.8985,0.3943,0.4695,0.3379,0.2084,0.7968
0.265,0.8985,0.3954,0.4704,0.3383,0.2087,0.7968
0.266,0.8971,0.3959,0.4706,0.3379,0.2085,0.7968
0.267,0.8971,0.3966,0.4713,0.3383,0.2088,0.7968
0.268,0.8971,0.3985,0.4728,0.3389,0.2092,0.7968
0.269,0.8971,0.399,0.4732,0.3391,0.2094,0.7968
0.27,0.8971,0.4,0.4741,0.3394,0.2097,0.7968
0.271,0.8971,0.4013,0.4752,0.3399,0.21,0.7968
0.272,0.8971,0.4018,0.4757,0.3401,0.2102,0.7968
0.273,0.8971,0.4039,0.4774,0.3409,0.2108,0.7968
0.274,0.8971,0.4052,0.4785,0.3414,0.2111,0.7968
0.275,0.8971,0.4057,0.4789,0.3416,0.2113,0.7968
0.276,0.8971,0.4072,0.4803,0.3421,0.2117,0.7968
0.277,0.8956,0.4082,0.4809,0.342,0.2117,0.7968
0.278,0.8956,0.409,0.4816,0.3423,0.2119,0.7968
0.279,0.8956,0.4106,0.4829,0.3429,0.2124,0.7968
0.28,0.8926,0.4134,0.4849,0.343,0.2126,0.7968
0.281,0.8926,0.4144,0.4857,0.3433,0.2129,0.7968
0.282,0.8926,0.4149,0.4862,0.3435,0.213,0.7968
0.283,0.8926,0.4162,0.4873,0.344,0.2134,0.7968
0.284,0.8926,0.4173,0.4882,0.3444,0.2137,0.7968
0.285,0.8926,0.4191,0.4897,0.345,0.2141,0.7968
0.286,0.8882,0.4204,0.4901,0.344,0.2137,0.7968
0.287,0.8882,0.4229,0.4923,0.345,0.2144,0.7968
0.288,0.8868,0.4237,0.4928,0.3448,0.2144,0.7968
0.289,0.8868,0.4245,0.4934,0.3451,0.2146,0.7968
0.29,0.8853,0.4255,0.4941,0.345,0.2146,0.7968
0.291,0.8853,0.4263,0.4947,0.3453,0.2148,0.7968
0.292,0.8824,0.4281,0.4958,0.345,0.2148,0.7968
0.293,0.8824,0.4302,0.4976,0.3457,0.2153,0.7968
0.294,0.8824,0.4309,0.4982,0.346,0.2155,0.7968
0.295,0.8824,0.433,0.5,0.3468,0.2162,0.7968
0.296,0.8824,0.4348,0.5015,0.3474,0.2166,0.7968
0.297,0.8809,0.4358,0.5022,0.3473,0.2166,0.7968
0.298,0.8794,0.4366,0.5026,0.3471,0.2165,0.7968
0.299,0.8794,0.4389,0.5046,0.348,0.2172,0.7968
0.3,0.8794,0.4402,0.5057,0.3485,0.2176,0.7968
0.301,0.8794,0.4412,0.5066,0.3489,0.218,0.7968
0.302,0.8794,0.4418,0.507,0.3491,0.2181,0.7968
0.303,0.8794,0.4436,0.5086,0.3498,0.2186,0.7968
0.304,0.8779,0.4443,0.509,0.3496,0.2186,0.7968
0.305,0.8779,0.4454,0.5099,0.35,0.2189,0.7968
0.306,0.8779,0.4469,0.5112,0.3505,0.2193,0.7968
0.307,0.8779,0.4469,0.5112,0.3505,0.2193,0.7968
0.308,0.8779,0.4492,0.5132,0.3514,0.22,0.7968
0.309,0.8779,0.4505,0.5143,0.3519,0.2204,0.7968
0.31,0.8779,0.4523,0.5158,0.3526,0.2209,0.7968
0.311,0.8779,0.4534,0.5167,0.353,0.2213,0.7968
0.312,0.8779,0.4539,0.5171,0.3533,0.2214,0.7968
0.313,0.8779,0.4559,0.5189,0.3541,0.2221,0.7968
0.314,0.8779,0.4572,0.52,0.3546,0.2225,0.7968
0.315,0.8779,0.4582,0.5208,0.355,0.2228,0.7968
0.316,0.8779,0.4595,0.5219,0.3555,0.2232,0.7968
0.317,0.8779,0.4606,0.5228,0.356,0.2236,0.7968
0.318,0.8779,0.4621,0.5241,0.3566,0.2241,0.7968
0.319,0.8779,0.4629,0.5248,0.3569,0.2243,0.7968
0.32,0.8779,0.4642,0.5259,0.3574,0.2247,0.7968
0.321,0.8779,0.4662,0.5276,0.3583,0.2254,0.7968
0.322,0.8779,0.4665,0.5279,0.3584,0.2254,0.7968
0.323,0.8779,0.4688,0.5298,0.3592,0.2261,0.7968
0.324,0.8779,0.4701,0.5309,0.3598,0.2265,0.7968
0.325,0.875,0.4719,0.532,0.3595,0.2265,0.7968
0.326,0.8735,0.4729,0.5327,0.3595,0.2266,0.7968
0.327,0.8735,0.474,0.5336,0.3598,0.2269,0.7968
0.328,0.8735,0.4747,0.5342,0.3602,0.2272,0.7968
0.329,0.8721,0.4758,0.5349,0.3601,0.2272,0.7968
0.33,0.8721,0.4763,0.5353,0.3604,0.2274,0.7968
0.331,0.8721,0.4776,0.5364,0.3609,0.2279,0.7968
0.332,0.8721,0.4791,0.5377,0.3616,0.2284,0.7968
0.333,0.8706,0.4807,0.5388,0.3617,0.2286,0.7968
0.334,0.8706,0.4825,0.5404,0.3624,0.2292,0.7968
0.335,0.8691,0.4838,0.5412,0.3624,0.2293,0.7968
0.336,0.8676,0.4853,0.5423,0.3625,0.2294,0.7968
0.337,0.8676,0.4858,0.5428,0.3628,0.2296,0.7968
0.338,0.8662,0.4869,0.5434,0.3627,0.2297,0.7968
0.339,0.8662,0.4871,0.5436,0.3628,0.2298,0.7968
0.34,0.8662,0.4881,0.5445,0.3633,0.2301,0.7968
0.341,0.8662,0.4897,0.5458,0.3638,0.2306,0.7968
0.342,0.8662,0.4907,0.5467,0.3643,0.231,0.7968
0.343,0.8662,0.492,0.5478,0.3649,0.2314,0.7968
0.344,0.8662,0.4936,0.5491,0.3656,0.232,0.7968
0.345,0.8662,0.4946,0.55,0.366,0.2324,0.7968
0.346,0.8662,0.4961,0.5513,0.3667,0.2328,0.7968
0.347,0.8662,0.4972,0.5522,0.3671,0.2332,0.7968
0.348,0.8662,0.4982,0.5531,0.3675,0.2335,0.7968
0.349,0.8632,0.499,0.5533,0.3668,0.2332,0.7968
0.35,0.8618,0.5003,0.5542,0.3669,0.2333,0.7968
0.351,0.8603,0.5018,0.5553,0.367,0.2335,0.7968
0.352,0.8603,0.5034,0.5566,0.3677,0.2341,0.7968
0.353,0.8588,0.5036,0.5566,0.3673,0.2339,0.7968
0.354,0.8574,0.5044,0.557,0.3671,0.2338,0.7968
0.355,0.8574,0.5059,0.5583,0.3678,0.2344,0.7968
0.356,0.8574,0.5077,0.5599,0.3686,0.235,0.7968
0.357,0.8574,0.509,0.561,0.3691,0.2354,0.7968
0.358,0.8574,0.5108,0.5625,0.3698,0.236,0.7968
0.359,0.8574,0.5134,0.5647,0.371,0.237,0.7968
0.36,0.8559,0.5142,0.5651,0.3708,0.2369,0.7968
0.361,0.8559,0.5149,0.5658,0.3712,0.2372,0.7968
0.362,0.8559,0.516,0.5667,0.3717,0.2376,0.7968
0.363,0.8559,0.5173,0.5678,0.3723,0.2382,0.7968
0.364,0.8559,0.5175,0.568,0.3724,0.2383,0.7968
0.365,0.8559,0.5198,0.57,0.3735,0.2391,0.7968
0.366,0.8559,0.5216,0.5715,0.3743,0.2398,0.7968
0.367,0.8559,0.5229,0.5726,0.3749,0.2403,0.7968
0.368,0.8559,0.5237,0.5732,0.3753,0.2406,0.7968
0.369,0.8559,0.5245,0.5739,0.3757,0.2409,0.7968
0.37,0.8544,0.5276,0.5763,0.3766,0.2418,0.7968
0.371,0.8529,0.5296,0.5779,0.377,0.2422,0.7968
0.372,0.8529,0.5307,0.5787,0.3775,0.2427,0.7968
0.373,0.8515,0.5314,0.5792,0.3773,0.2426,0.7968
0.374,0.8515,0.5332,0.5807,0.3782,0.2433,0.7968
0.375,0.85,0.5345,0.5816,0.3782,0.2434,0.7968
0.376,0.85,0.5351,0.582,0.3784,0.2436,0.7968
0.377,0.85,0.5366,0.5833,0.3792,0.2442,0.7968
0.378,0.85,0.5371,0.5838,0.3794,0.2445,0.7968
0.379,0.85,0.5384,0.5849,0.3801,0.245,0.7968
0.38,0.85,0.5392,0.5855,0.3804,0.2453,0.7968
0.381,0.85,0.5405,0.5866,0.381,0.2458,0.7968
0.382,0.85,0.5412,0.5873,0.3814,0.2461,0.7968
0.383,0.85,0.542,0.5879,0.3818,0.2464,0.7968
0.384,0.8485,0.543,0.5886,0.3817,0.2465,0.7968
0.385,0.8485,0.5448,0.5901,0.3826,0.2472,0.7968
0.386,0.8485,0.5461,0.5912,0.3832,0.2477,0.7968
0.387,0.8471,0.5482,0.5928,0.3837,0.2483,0.7968
0.388,0.8471,0.5497,0.5941,0.3845,0.2489,0.7968
0.389,0.8456,0.5508,0.5947,0.3844,0.249,0.7968
0.39,0.8456,0.5523,0.5961,0.3852,0.2496,0.7968
0.391,0.8456,0.5541,0.5976,0.386,0.2503,0.7968
0.392,0.8456,0.5549,0.5982,0.3864,0.2506,0.7968
0.393,0.8456,0.5562,0.5993,0.3871,0.2512,0.7968
0.394,0.8456,0.557,0.6,0.3874,0.2515,0.7968
0.395,0.8456,0.5595,0.6022,0.3887,0.2525,0.7968
0.396,0.8456,0.5601,0.6026,0.3889,0.2527,0.7968
0.397,0.8456,0.5613,0.6037,0.3896,0.2533,0.7968
0.398,0.8456,0.5631,0.6053,0.3905,0.254,0.7968
0.399,0.8456,0.5644,0.6064,0.3911,0.2546,0.7968
0.4,0.8456,0.5652,0.607,0.3916,0.2549,0.7968
0.401,0.8456,0.5665,0.6081,0.3922,0.2555,0.7968
0.402,0.8456,0.568,0.6094,0.393,0.2562,0.7968
0.403,0.8441,0.5693,0.6103,0.3931,0.2563,0.7968
0.404,0.8441,0.5704,0.6112,0.3936,0.2568,0.7968
0.405,0.8441,0.5711,0.6118,0.394,0.2571,0.7968
0.406,0.8426,0.5724,0.6127,0.3941,0.2574,0.7968
0.407,0.8426,0.5735,0.6136,0.3947,0.2578,0.7968
0.408,0.8426,0.5747,0.6147,0.3954,0.2585,0.7968
0.409,0.8412,0.5755,0.6151,0.3952,0.2585,0.7968
0.41,0.8412,0.5765,0.616,0.3958,0.2589,0.7968
0.411,0.8412,0.5773,0.6167,0.3962,0.2593,0.7968
0.412,0.8412,0.5784,0.6175,0.3967,0.2597,0.7968
0.413,0.8412,0.5794,0.6184,0.3973,0.2602,0.7968
0.414,0.8412,0.5799,0.6189,0.3975,0.2604,0.7968
0.415,0.8412,0.5817,0.6204,0.3985,0.2612,0.7968
0.416,0.8412,0.5827,0.6213,0.399,0.2617,0.7968
0.417,0.8412,0.5838,0.6221,0.3996,0.2622,0.7968
0.418,0.8412,0.584,0.6224,0.3998,0.2623,0.7968
0.419,0.8412,0.5845,0.6228,0.4,0.2626,0.7968
0.42,0.8412,0.5858,0.6239,0.4007,0.2631,0.7968
0.421,0.8412,0.5871,0.625,0.4014,0.2637,0.7968
0.422,0.8412,0.5884,0.6261,0.402,0.2643,0.7968
0.423,0.8412,0.5899,0.6274,0.4029,0.265,0.7968
0.424,0.8412,0.591,0.6283,0.4035,0.2655,0.7968
